"","subject","trial_no","stimulus_no","stimulus_mode","response_mode","training","x_value","y_value","response_value","time","session"
"1",1,1,61,2,2,1,60,100,1049,"25.54","training"
"2",1,2,77,2,2,1,70,400,1324,"07.78","training"
"3",1,3,27,2,2,1,30,400,1471,"09.31","training"
"4",1,4,28,2,2,1,30,400,1431,"06.05","training"
"5",1,5,32,2,2,1,35,225,1529,"07.72","training"
"6",1,6,93,2,2,1,85,1225,1402,"04.76","training"
"7",1,7,21,2,2,1,25,625,1324,"06.36","training"
"8",1,8,47,2,2,1,45,25,1402,"07.04","training"
"9",1,9,96,2,2,1,85,1225,1294,"02.88","training"
"10",1,10,76,2,2,1,70,400,1275,"02.86","training"
"11",1,11,80,2,2,1,75,625,1333,"03.38","training"
"12",1,12,73,2,2,1,70,400,1343,"06.56","training"
"13",1,13,43,2,2,1,45,25,1108,"06.07","training"
"14",1,14,79,2,2,1,75,625,1265,"03.48","training"
"15",1,15,52,2,2,1,50,0,1382,"04.51","training"
"16",1,16,34,2,2,1,35,225,1245,"03.31","training"
"17",1,17,50,2,2,1,50,0,1314,"03.48","training"
"18",1,18,11,2,2,1,15,1225,1314,"03.79","training"
"19",1,19,15,2,2,1,20,900,1206,"09.24","training"
"20",1,20,83,2,2,1,75,625,1333,"03.98","training"
"21",1,21,6,2,2,1,10,1600,1431,"04.04","training"
"22",1,22,72,2,2,1,65,225,1235,"03.37","training"
"23",1,23,36,2,2,1,35,225,1373,"03.34","training"
"24",1,24,7,2,2,1,15,1225,1363,"03.53","training"
"25",1,25,16,2,2,1,20,900,1304,"04.38","training"
"26",1,26,58,2,2,1,55,25,1353,"05.88","training"
"27",1,27,99,2,2,1,90,1600,1353,"03.59","training"
"28",1,28,85,2,2,1,80,900,1284,"02.97","training"
"29",1,29,101,2,2,1,90,1600,1176,"03.95","training"
"30",1,30,69,2,2,1,65,225,1186,"04.8","training"
"31",1,31,18,2,2,1,20,900,1206,"04.89","training"
"32",1,32,46,2,2,1,45,25,1314,"03.58","training"
"33",1,33,25,2,2,1,30,400,1304,"03.46","training"
"34",1,34,38,2,2,1,40,100,1412,"04.86","training"
"35",1,35,82,2,2,1,75,625,1314,"08.21","training"
"36",1,36,89,2,2,1,80,900,1314,"04.72","training"
"37",1,37,3,2,2,1,10,1600,1412,"07.49","training"
"38",1,38,63,2,2,1,60,100,1314,"03.12","training"
"39",1,39,55,2,2,1,55,25,1343,"03.99","training"
"40",1,40,20,2,2,1,25,625,1392,"07.6","training"
"41",1,41,71,2,2,1,65,225,1373,"04.38","training"
"42",1,42,35,2,2,1,35,225,1324,"05.81","training"
"43",1,43,29,2,2,1,30,400,1353,"03.89","training"
"44",1,44,87,2,2,1,80,900,1294,"04.33","training"
"45",1,45,86,2,2,1,80,900,1304,"05.15","training"
"46",1,46,100,2,2,1,90,1600,1216,"05.13","training"
"47",1,47,60,2,2,1,55,25,1451,"05.33","training"
"48",1,48,54,2,2,1,50,0,1353,"04.41","training"
"49",1,49,48,2,2,1,45,25,1382,"04.21","training"
"50",1,50,81,2,2,1,75,625,1265,"05.47","training"
"51",1,51,30,2,2,1,30,400,1382,"11.02","training"
"52",1,52,94,2,2,1,85,1225,1324,"03.69","training"
"53",1,53,10,2,2,1,15,1225,1275,"05.3","training"
"54",1,54,51,2,2,1,50,0,1314,"03.42","training"
"55",1,55,31,2,2,1,35,225,1333,"03.88","training"
"56",1,56,23,2,2,1,25,625,1314,"04.81","training"
"57",1,57,64,2,2,1,60,100,1216,"05.66","training"
"58",1,58,19,2,2,1,25,625,1392,"03.54","training"
"59",1,59,26,2,2,1,30,400,1333,"07.65","training"
"60",1,60,74,2,2,1,70,400,1353,"08.87","training"
"61",1,61,39,2,2,1,40,100,1363,"03.68","training"
"62",1,62,59,2,2,1,55,25,1363,"04.22","training"
"63",1,63,92,2,2,1,85,1225,1382,"02.9","training"
"64",1,64,37,2,2,1,40,100,1402,"03.13","training"
"65",1,65,102,2,2,1,90,1600,1402,"02.94","training"
"66",1,66,98,2,2,1,90,1600,1314,"05.2","training"
"67",1,67,22,2,2,1,25,625,1294,"04.3","training"
"68",1,68,13,2,2,1,20,900,1363,"05.46","training"
"69",1,69,45,2,2,1,45,25,1324,"05.46","training"
"70",1,70,33,2,2,1,35,225,1275,"04.25","training"
"71",1,71,91,2,2,1,85,1225,1255,"03.79","training"
"72",1,72,70,2,2,1,65,225,1353,"05.09","training"
"73",1,73,95,2,2,1,85,1225,1333,"05.14","training"
"74",1,74,88,2,2,1,80,900,1324,"07.94","training"
"75",1,75,14,2,2,1,20,900,1314,"03.42","training"
"76",1,76,66,2,2,1,60,100,1225,"03.68","training"
"77",1,77,4,2,2,1,10,1600,1314,"06.45","training"
"78",1,78,67,2,2,1,65,225,1245,"04.36","training"
"79",1,79,42,2,2,1,40,100,1373,"06.11","training"
"80",1,80,41,2,2,1,40,100,1382,"04.52","training"
"81",1,81,75,2,2,1,70,400,1431,"02.84","training"
"82",1,82,62,2,2,1,60,100,1392,"03.73","training"
"83",1,83,40,2,2,1,40,100,1529,"07.43","training"
"84",1,84,9,2,2,1,15,1225,1490,"02.66","training"
"85",1,85,17,2,2,1,20,900,1451,"02.85","training"
"86",1,86,90,2,2,1,80,900,1137,"02.7","training"
"87",1,87,24,2,2,1,25,625,1363,"02.63","training"
"88",1,88,84,2,2,1,75,625,1275,"06.69","training"
"89",1,89,12,2,2,1,15,1225,1549,"02.59","training"
"90",1,90,56,2,2,1,55,25,1559,"03.35","training"
"91",1,91,65,2,2,1,60,100,1441,"03.47","training"
"92",1,92,8,2,2,1,15,1225,1255,"03.51","training"
"93",1,93,44,2,2,1,45,25,814,"03.45","training"
"94",1,94,49,2,2,1,50,0,598,"02.95","training"
"95",1,95,5,2,2,1,10,1600,1010,"03.02","training"
"96",1,96,97,2,2,1,90,1600,971,"03.49","training"
"97",1,97,57,2,2,1,55,25,1039,"05.84","training"
"98",1,98,53,2,2,1,50,0,1559,"03.85","training"
"99",1,99,1,2,2,1,10,1600,912,"03.83","training"
"100",1,100,68,2,2,1,65,225,1431,"04.","training"
"101",1,101,78,2,2,1,70,400,1863,"03.62","training"
"102",1,102,2,2,2,1,10,1600,725,"03.47","training"
"103",1,1,1,2,2,0,0,2500,1176,"08.11","test1"
"104",1,2,19,2,2,0,45,25,882,"05.36","test1"
"105",1,3,11,2,2,0,25,625,941,"03.21","test1"
"106",1,4,2,2,2,0,0,2500,941,"04.43","test1"
"107",1,5,38,2,2,0,90,1600,941,"02.79","test1"
"108",1,6,27,2,2,0,65,225,912,"03.35","test1"
"109",1,7,28,2,2,0,65,225,1020,"04.58","test1"
"110",1,8,15,2,2,0,35,225,1108,"05.48","test1"
"111",1,9,26,2,2,0,60,100,1186,"05.45","test1"
"112",1,10,29,2,2,0,70,400,1343,"04.84","test1"
"113",1,11,3,2,2,0,5,2025,1225,"05.15","test1"
"114",1,12,21,2,2,0,50,0,1157,"03.06","test1"
"115",1,13,42,2,2,0,100,2500,892,"01.93","test1"
"116",1,14,18,2,2,0,40,100,1049,"03.4","test1"
"117",1,15,20,2,2,0,45,25,1069,"03.87","test1"
"118",1,16,37,2,2,0,90,1600,804,"05.2","test1"
"119",1,17,8,2,2,0,15,1225,784,"02.94","test1"
"120",1,18,22,2,2,0,50,0,618,"02.87","test1"
"121",1,19,5,2,2,0,10,1600,392,"03.26","test1"
"122",1,20,7,2,2,0,15,1225,559,"02.88","test1"
"123",1,21,12,2,2,0,25,625,235,"02.73","test1"
"124",1,22,31,2,2,0,75,625,225,"05.47","test1"
"125",1,23,17,2,2,0,40,100,500,"03.59","test1"
"126",1,24,4,2,2,0,5,2025,294,"02.67","test1"
"127",1,25,36,2,2,0,85,1225,216,"02.44","test1"
"128",1,26,9,2,2,0,20,900,363,"03.75","test1"
"129",1,27,32,2,2,0,75,625,422,"03.2","test1"
"130",1,28,16,2,2,0,35,225,392,"04.04","test1"
"131",1,29,25,2,2,0,60,100,696,"03.29","test1"
"132",1,30,10,2,2,0,20,900,402,"02.93","test1"
"133",1,31,6,2,2,0,10,1600,137,"02.82","test1"
"134",1,32,23,2,2,0,55,25,402,"03.75","test1"
"135",1,33,40,2,2,0,95,2025,186,"04.95","test1"
"136",1,34,41,2,2,0,100,2500,480,"02.71","test1"
"137",1,35,33,2,2,0,80,900,549,"03.22","test1"
"138",1,36,13,2,2,0,30,400,608,"04.31","test1"
"139",1,37,35,2,2,0,85,1225,176,"03.1","test1"
"140",1,38,39,2,2,0,95,2025,333,"02.93","test1"
"141",1,39,24,2,2,0,55,25,88,"01.99","test1"
"142",1,40,14,2,2,0,30,400,157,"03.55","test1"
"143",1,41,34,2,2,0,80,900,225,"02.82","test1"
"144",1,42,30,2,2,0,70,400,235,"03.56","test1"
"145",1,1,22,2,2,0,50,0,186,"162.17","test2"
"146",1,2,13,2,2,0,30,400,510,"09.44","test2"
"147",1,3,34,2,2,0,80,900,1951,"10.33","test2"
"148",1,4,3,2,2,0,5,2025,1078,"11.75","test2"
"149",1,5,41,2,2,0,100,2500,1775,"18.16","test2"
"150",1,6,20,2,2,0,45,25,294,"04.55","test2"
"151",1,7,15,2,2,0,35,225,873,"07.89","test2"
"152",1,8,12,2,2,0,25,625,716,"07.86","test2"
"153",1,9,37,2,2,0,90,1600,1794,"08.61","test2"
"154",1,10,14,2,2,0,30,400,1020,"05.93","test2"
"155",1,11,39,2,2,0,95,2025,1784,"06.33","test2"
"156",1,12,38,2,2,0,90,1600,1755,"08.1","test2"
"157",1,13,2,2,2,0,0,2500,1412,"09.8","test2"
"158",1,14,30,2,2,0,70,400,1275,"21.43","test2"
"159",1,15,24,2,2,0,55,25,471,"12.85","test2"
"160",1,16,40,2,2,0,95,2025,1843,"10.69","test2"
"161",1,17,23,2,2,0,55,25,392,"08.87","test2"
"162",1,18,16,2,2,0,35,225,657,"10.59","test2"
"163",1,19,33,2,2,0,80,900,1461,"08.85","test2"
"164",1,20,8,2,2,0,15,1225,765,"13.83","test2"
"165",1,21,7,2,2,0,15,1225,951,"09.46","test2"
"166",1,22,19,2,2,0,45,25,569,"09.01","test2"
"167",1,23,28,2,2,0,65,225,598,"12.5","test2"
"168",1,24,32,2,2,0,75,625,843,"17.15","test2"
